epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3264,1.5585,5.41007,1.31537,0.0,0.0,0.0,0.0,1.54482,5.02356,1.3034,4.695e-05,4.695e-05,4.695e-05
2,98.8694,1.44327,5.19325,1.21439,0.0,0.0,0.0,0.0,1.54,4.93451,1.24737,9.0626e-05,9.0626e-05,9.0626e-05
3,150.694,1.40628,4.74885,1.13782,0.0006,0.02597,0.01051,0.00862,1.4888,4.79733,1.18845,0.000127691,0.000127691,0.000127691
4,202.238,1.54403,4.46885,1.16203,0.00729,0.0376,0.01121,0.00698,1.49783,4.66614,1.16406,0.000158146,0.000158146,0.000158146
5,256.513,1.42614,4.17813,1.11684,0.00483,0.13065,0.00788,0.00521,1.44003,4.5401,1.14654,0.000181991,0.000181991,0.000181991
6,301.425,1.34624,3.993,1.10077,0.00491,0.25756,0.01085,0.00678,1.44166,4.4131,1.18054,0.000199225,0.000199225,0.000199225
7,345.829,1.27786,3.84023,1.10175,0.47964,0.03141,0.01703,0.01147,1.48072,4.51553,1.21267,0.000189052,0.000189052,0.000189052
8,393.405,1.23765,3.77893,1.08243,0.56647,0.04174,0.02344,0.01507,1.45344,4.67196,1.20623,0.000168394,0.000168394,0.000168394
9,439.951,1.22779,3.66243,1.09274,0.68685,0.02342,0.02382,0.01654,1.40866,4.50945,1.20451,0.000147736,0.000147736,0.000147736
10,484.562,1.24261,3.77641,1.10871,0.70319,0.02382,0.0298,0.01993,1.40654,4.38811,1.21207,0.000127078,0.000127078,0.000127078
11,528.573,1.17963,3.57186,1.04074,0.65106,0.02855,0.03723,0.02232,1.41228,4.22706,1.22509,0.00010642,0.00010642,0.00010642
12,570.74,1.13725,3.46757,1.04089,0.44492,0.09325,0.0433,0.02765,1.38418,4.2093,1.21668,8.5762e-05,8.5762e-05,8.5762e-05
13,612.314,1.12594,3.39683,1.05997,0.44034,0.10532,0.04516,0.03029,1.35631,4.33882,1.20999,6.5104e-05,6.5104e-05,6.5104e-05
14,654.344,1.15727,3.41394,1.05742,0.44197,0.1339,0.04843,0.03219,1.36081,4.53517,1.21747,4.4446e-05,4.4446e-05,4.4446e-05
15,695.799,1.12485,3.34584,1.07509,0.66173,0.04393,0.04953,0.0332,1.36554,4.56229,1.2224,2.3788e-05,2.3788e-05,2.3788e-05
