epoch,train_loss,val_loss,val_rmse,val_mae,val_mape
1,1.486669087409973,0.5833395719528198,0.7637666999502006,0.4190596044063568,61.88374328613281
2,1.3155416658946446,0.3988918960094452,0.6315788913583521,0.38730838894844055,65.4627456665039
3,1.224608588218689,0.3362104892730713,0.579836605668417,0.3041939437389374,74.57838439941406
4,1.2825221061706542,0.3962399363517761,0.6294759219793686,0.34423911571502686,68.9871597290039
5,1.228776961281186,0.39292287826538086,0.626835607049712,0.38014647364616394,67.72276306152344
6,1.2357338996160598,0.389896422624588,0.6244168660635201,0.3643145263195038,70.02714538574219
7,1.2143350499016898,0.4082348942756653,0.6389326210764835,0.39208313822746277,64.5177001953125
8,1.2154598497209095,0.39303550124168396,0.6269254351529246,0.37224480509757996,66.7464599609375
9,1.208987637928554,0.4060370922088623,0.6372103986979986,0.3802542984485626,67.73265075683594
10,1.1912765451839993,0.3846246600151062,0.6201811509672849,0.3740941882133484,68.73172760009766
11,1.1829811993099395,0.33426743745803833,0.5781586611459162,0.3331657946109772,73.6383285522461
12,1.1859685557229178,0.39021536707878113,0.6246722077047938,0.3732915222644806,68.98480987548828
13,1.1775073948360624,0.44496390223503113,0.6670561462388538,0.412415474653244,62.924659729003906
14,1.170332549867176,0.35578566789627075,0.5964777178539621,0.3456698954105377,71.87812042236328
15,1.167402960572924,0.38028085231781006,0.6166691595319245,0.3574509024620056,71.8017807006836
16,1.1629546613920303,0.42818397283554077,0.6543576795878083,0.39258357882499695,67.12195587158203
17,1.149938200201307,0.395002543926239,0.6284922783346181,0.3739541471004486,68.21711730957031
18,1.1380110854194279,0.419811487197876,0.6479286127328195,0.3925013840198517,67.380615234375
19,1.1280376354853312,0.40035921335220337,0.6327394513954407,0.3699342906475067,71.42268371582031
20,1.1238810124851408,0.40805691480636597,0.6387933271460856,0.37310725450515747,69.90884399414062
21,1.1073981001263573,0.35730183124542236,0.5977472971460619,0.3319461941719055,75.36222076416016
22,1.0948800450279599,0.43322551250457764,0.6581986877110723,0.3879718482494354,67.87813568115234
23,1.0899057286126272,0.3719915747642517,0.6099111203808729,0.34099212288856506,73.8861083984375
24,1.0750018046015786,0.38587674498558044,0.6211897817781459,0.3527887761592865,72.41412353515625
25,1.052193758601234,0.35727420449256897,0.5977241876422343,0.33062246441841125,76.09210968017578
